judge_id,judge
1,Carrie Ann Inaba
2,Len Goodman
3,Bruno Tonioli
4,Michael Flatley
5,Julianne Hough
6,Paula Abdul
7,Kevin Hart
8,Robin Roberts
9,Derek Hough
10,America's Score
11,Jessie J
12,Donny Osmond
13,Pitbull
14,Redfoo
15,Ricky Martin
16,Abby Lee Miller
17,Kenny Ortega
18,Cher
19,Rashad Jennings
20,Leah Remini
21,David Ross
22,Maksim Chmerkovskiy
23,Michael Bublé
24,Zendaya
25,Joey Fatone
26,Nick Carter
27,Shania Twain
28,Mandy Moore
29,Alfonso Ribeiro
30,Olivia Newton-John
31,Idina Menzel
32,Donnie Burns
33,Mel B
34,Emmitt Smith
35,Kelly Osbourne
36,Hélio Castroneves
37,Gilles Marini
38,Drew Lachey
